,,AdaBoost_DT,LogisticRegression_L2,NaiveBayes,RandomForest,SupportVectorMachine
test,ACC,80.87248322147651,84.8993288590604,79.53020134228188,81.20805369127517,84.56375838926175
test,AUC,91.67366946778712,91.82422969187674,87.77310924369749,88.82703081232492,89.00910364145658
test,Cohen_Kappa,0.5117562517964933,0.5980938680093508,0.4774935326243174,0.48614361374553516,0.582480506822612
test,Matthews_corr,0.536430749411882,0.6162806641514063,0.500516041857458,0.49636278949024115,0.5968127683140655
test,Precision,0.5157894736842106,0.5862068965517241,0.49473684210526314,0.524390243902439,0.5833333333333334
test,Recall,0.8166666666666667,0.85,0.7833333333333333,0.7166666666666667,0.8166666666666667
test,f1-score,63.22580645161291,69.38775510204081,60.64516129032258,60.56338028169014,68.05555555555557
train,ACC,90.93220338983052,92.88135593220339,82.20338983050848,88.22033898305085,90.42372881355932
train,AUC,98.9717706753292,98.53595894241826,89.10582529050386,96.38173349262387,98.03974209252274
train,Cohen_Kappa,0.7563902695026703,0.7986045358679795,0.5412589276788591,0.6826705051114774,0.73626330155465
train,Matthews_corr,0.7772176884689365,0.8081754998080259,0.5652689417981823,0.7008040929035405,0.7504794586925315
train,Precision,0.6923076923076923,0.7541528239202658,0.5365853658536586,0.6458333333333334,0.69375
train,Recall,0.9873417721518988,0.9578059071729957,0.8354430379746836,0.9156118143459916,0.9367088607594937
train,f1-score,81.39130434782608,84.38661710037174,65.34653465346535,75.74171029668412,79.71274685816877
